zipcode,state,income
78504,texas,68024
88101,newmexico,50806
75961,texas,37540
40071,kentucky,92656
79103,texas,49381
40422,kentucky,53825
14208,newyork,41084
79404,texas,40110
77642,texas,40227
79706,texas,101284
77705,texas,46751
70663,louisiana,54733
77713,texas,72674
77803,texas,44750
75949,texas,43954
70656,louisiana,45625
78626,texas,84850
78957,texas,64063
27504,northcarolina,53779
35759,alabama,89165
11703,newyork,110889
77864,texas,60509
70433,louisiana,71772
75939,texas,42028
75964,texas,52825
94553,california,110971
75972,texas,42279
71913,arkansas,49692
74848,oklahoma,44268
78559,texas,38975
75935,texas,49338
75426,texas,36719
71446,louisiana,53012
77612,texas,60625
79705,texas,100243
70447,louisiana,117363
40324,kentucky,72348
75944,texas,48304
71360,louisiana,53563
70788,louisiana,49464
78947,texas,70438
74107,oklahoma,49327
78521,texas,35318
77521,texas,70436
77632,texas,77500
76248,texas,149016
79311,texas,57734
70512,louisiana,46237
39211,mississippi,62060
70508,louisiana,80262
75937,texas,73125
17112,pennsylvania,89022
78250,texas,73957
78045,texas,78478
55309,minnesota,101917
77904,texas,81540
78620,texas,118145
76513,texas,71858
77474,texas,73220
77566,texas,89434
75951,texas,41003
38104,tennessee,48487
76022,texas,67489
75903,texas,24107
78704,texas,82641
78721,texas,61462
78041,texas,55311
74011,oklahoma,84860
78521,texas,35318
79936,texas,58096
75755,texas,48345
76537,texas,83401
30047,georgia,76498
79922,texas,103906
75904,texas,54624
75602,texas,49000
44721,ohio,85310
70506,louisiana,49945
76140,texas,61921
71329,louisiana,not_found
78628,texas,102782
71291,louisiana,60575
75831,texas,48385
89119,nevada,41298
71461,louisiana,51169
70607,louisiana,45275
71360,louisiana,53563
75048,texas,114256
76104,texas,41863
73010,oklahoma,79795
71770,arkansas,35429
75975,texas,52547
70538,louisiana,40304
78251,texas,69346
36695,alabama,72074
75652,texas,57449
70607,louisiana,45275
78664,texas,80403
77845,texas,83361
77363,texas,57147
77437,texas,53976
77642,texas,40227
70560,louisiana,44371
70663,louisiana,54733
85614,arizona,55047
32810,florida,54407
78681,texas,112020
98682,washington,82858
30012,georgia,51001
27320,northcarolina,44071
78521,texas,35318
75904,texas,54624
75935,texas,49338
79380,texas,45938
78253,texas,106343
70094,louisiana,41909
78041,texas,55311
78737,texas,139869
85364,arizona,51581
77901,texas,47375
79415,texas,33112
78570,texas,34651
78738,texas,143639
87114,newmexico,72863
78415,texas,49255
77833,texas,61409
78642,texas,109939
78738,texas,143639
76550,texas,65876
43110,ohio,63837
78596,texas,47597
70806,louisiana,47591
78522,texas,not_found
78259,texas,99365
71457,louisiana,36258
78596,texas,47597
72764,arkansas,53249
75904,texas,54624
27504,northcarolina,53779
78575,texas,63866
77302,texas,80581
78744,texas,65262
77339,texas,79016
78520,texas,42484
18431,pennsylvania,52168
78022,texas,59194
50226,iowa,131415
28092,northcarolina,55775
70607,louisiana,45275
75057,texas,73837
71303,louisiana,58750
70589,louisiana,39804
78374,texas,82124
79925,texas,49391
77705,texas,46751
70607,louisiana,45275
78737,texas,139869
78503,texas,40012
55112,minnesota,82197
